Date	Open	High	Low	Close	Volume
15/12/2020 16:30:00	165.4	165.85	165.39	165.63	5901
16/12/2020 16:30:00	167.15	167.43	166.87	167.17	4838
17/12/2020 16:30:00	168.31	168.44	168.15	168.18	17400
18/12/2020 16:30:00	167.87	168.68	167.33	167.56	73729
21/12/2020 16:30:00	166.65	168.31	162.78	165.35	7659
22/12/2020 16:30:00	166.21	166.84	165.93	166.03	18639
23/12/2020 16:30:00	166.82	167.55	166.65	167.31	1777
24/12/2020 12:30:00	167.2	167.34	166.57	166.57	6700
29/12/2020 16:30:00	169.47	169.6	168.93	169.18	13673
30/12/2020 16:30:00	169.57	169.76	168.87	169.64	1667
31/12/2020 12:30:00	169.34	169.62	169.34	169.36	455
04/01/2021 16:30:00	170.86	171.46	168.73	168.73	23569
05/01/2021 16:30:00	168.42	169.68	168.14	169.22	10558
06/01/2021 16:30:00	170.01	171.93	169.11	171.63	5515
07/01/2021 16:30:00	171.86	172.95	170.97	172.72	10522
08/01/2021 16:30:00	174.42	174.49	173.43	173.87	5871
11/01/2021 16:30:00	173.46	173.88	172.55	173.3	6358
12/01/2021 16:30:00	173.41	173.44	172.93	173.2	725
13/01/2021 16:30:00	173.29	173.72	172.99	173.58	3140
14/01/2021 16:30:00	174.23	174.56	174.01	174.49	5798
15/01/2021 16:30:00	173.08	173.19	172.35	172.35	7201
18/01/2021 16:30:00	172.06	172.47	171.66	172.31	6839
19/01/2021 16:30:00	173.64	173.73	172.83	172.95	11953
20/01/2021 16:30:00	174.09	175.29	173.95	175.18	16457
21/01/2021 16:30:00	176.22	176.39	175.4	175.64	20892
22/01/2021 16:30:00	174.76	175.46	173.93	174.9	13490
25/01/2021 16:30:00	176.11	176.39	173.24	174.5	13857
26/01/2021 16:30:00	174.83	175.76	174.66	175.04	26255
27/01/2021 16:30:00	173.93	174.59	170.96	171.99	8661
28/01/2021 16:30:00	169.98	172.96	168.6	172.81	22137
29/01/2021 16:30:00	169.29	170.84	169.24	169.41	15602
01/02/2021 16:30:00	170.46	171.05	169.82	171.04	14742
02/02/2021 16:30:00	172.49	174.04	172.49	173.84	21803
03/02/2021 16:30:00	174.95	174.95	173.46	173.93	14369
04/02/2021 16:30:00	173.99	174.79	173.84	174.79	11526
05/02/2021 16:30:00	175.69	176.18	175.68	176.18	3131
08/02/2021 16:30:00	176.93	177.51	176.63	176.9	19676
09/02/2021 16:30:00	177.66	177.78	177.36	177.71	4157
10/02/2021 16:30:00	178.48	178.89	177.1	177.98	8760
11/02/2021 16:30:00	178.23	178.96	178.23	178.82	16639
12/02/2021 16:30:00	178.2	178.62	178.19	179.12	2348
15/02/2021 16:30:00	180	181.08	180	180.9	4374
16/02/2021 16:30:00	181.01	181.25	180.02	180.04	14510
17/02/2021 16:30:00	179.58	179.98	178.24	178.41	15210
18/02/2021 16:30:00	178.94	179.16	177.22	177.74	8104
19/02/2021 16:30:00	178.38	179.55	178.38	179.41	10169
22/02/2021 16:30:00	177.14	177.64	176.36	177.41	17418
23/02/2021 16:30:00	175.64	176.41	174.52	175.55	1665
